ICICI_AccountID,CustomerName,AccountNumber,ServiceType,NationalID,Balance,InterestRate,LastUpdated
1,Lekhm Osha Baria,IC447-0163-4499,Current,82421948924,45605.75,3.64,2024-11-07
2,MR Lad,IC331-6581-2293,Current,25841972076,79663.71,2.33,2024-11-06
3,Oeshi Azad Ratti,IC148-6053-7993,Savings,78789007547,5478.17,3.3,2024-09-28
4,Chandani Oeshi Chopra,IC668-4331-6323,Savings,76045229611,20264.5,4.88,2023-06-13
5,Nisha Balendra Shukla,IC551-0255-3145,Current,92518536710,4898.49,1.4,2024-09-28
6,Osha Yashica Mody,IC017-8930-7713,Current,16207660754,83994.33,4.67,2019-01-29
7,Sai Harsh Krishnan,IC960-8093-2927,Current,48518321644,74415.86,2.34,2018-12-12
8,Sachi C Dhar,IC730-8087-7647,Savings,81160501904,24772.91,4.81,2021-06-27
9,AH Gaba,IC403-7531-5066,Current,50700300351,53229.74,2.95,2020-08-28
10,Yamini Leena Saran,IC910-4743-8825,Current,85536208296,32301.54,1.85,2021-10-13
11,RI Narang,IC629-7346-6705,Current,66609759294,28718.29,4.91,2024-08-13
12,Charan Neelima Lala,IC097-8963-0488,Savings,28400652822,21367.84,2.04,2018-08-18
13,Jyoti Zehaan Sur,IC342-3373-3453,Current,28693764092,34413.6,2.47,2024-03-27
14,Maya N Chanda,IC627-4911-4300,Savings,20298300689,15792.19,3.33,2022-11-30
15,Eta Pranav Chowdhury,IC858-9156-5182,Savings,21993173089,85846.62,3.91,2023-09-11
16,HB Natt,IC386-0669-8831,Current,60583528899,34173.11,3.75,2021-04-18
17,Arya Theodore Raja,IC557-2840-1727,Savings,59971876560,10709.57,3.23,2024-10-12
18,MA Bose,IC425-7365-8055,Savings,73729840925,20599.03,2.51,2024-03-23
19,Leenr Ronith Nagar,IC732-7030-7021,Current,30069028164,87888.0,2.98,2018-02-28
20,Chavvi Maanav Madan,IC725-3329-6760,Savings,87241949302,30744.38,4.04,2021-07-09
21,Osha Z Dayal,IC910-1359-1864,Current,43441527067,33935.9,2.97,2022-02-02
22,TA Garg,IC821-5921-4643,Savings,48184118940,29421.75,4.32,2017-04-18
23,Oviya Vivaan Mander,IC133-4401-2874,Current,22375057943,42368.74,2.97,2018-07-09
24,Nachikea Qadim Tank,IC379-7156-8206,Current,86624674802,46429.35,1.41,2024-08-16
25,Bachittar Caleb Dugal,IC929-2658-8335,Savings,21119131761,63366.66,1.42,2022-03-17
26,Isaiah Kritika Nagy,IC055-9970-8976,Current,82731841061,90206.07,4.78,2023-11-17
27,Gautam G Varty,IC792-3954-6818,Savings,31276153152,42100.98,1.62,2021-05-28
28,Zinag Atharv Subramaniam,IC344-0594-9434,Current,54310325689,68955.39,1.12,2023-06-03
29,Netra A Atwal,IC638-7513-9749,Savings,29314882927,82081.66,1.28,2022-12-05
30,LO Chandran,IC100-1386-5811,Savings,58116003563,21274.29,3.7,2023-07-04
31,Tamanna Indrajit Deep,IC477-0488-7597,Current,95260429216,37543.88,1.1,2022-02-27
32,Gagan M Pradhan,IC715-4924-0384,Current,40965154514,19220.51,4.97,2021-12-05
33,Onveer L Bal,IC317-1875-2481,Savings,06780357293,38282.3,1.59,2018-09-25
34,FI Dua,IC335-8255-3438,Current,92864052083,51324.91,1.95,2024-10-09
35,Caleb R Choudhary,IC064-4641-0092,Current,85221442743,42558.75,1.19,2018-09-30
36,Meera Vihaan Manne,IC808-2994-2297,Current,68533211892,8714.19,1.29,2024-09-03
37,Abha D Sengupta,IC353-2772-8366,Savings,55355563069,38266.74,1.03,2019-08-26
38,Gopal Noah Parmar,IC657-8291-4791,Current,52425715545,62254.82,1.03,2022-05-12
39,Binw Wishi Lad,IC838-7526-7737,Current,06384614422,63574.49,1.09,2024-06-05
40,Osha Aahana Handa,IC551-4617-9595,Current,20469779658,28992.04,1.54,2024-06-07
41,Charan C Karpe,IC976-2146-5546,Current,55217811225,49779.26,4.83,2024-09-14
42,Robert Yamini Khalsa,IC749-0778-2861,Current,27301366602,39705.64,4.97,2024-09-15
43,Bhavika F Goel,IC982-2031-9039,Current,06546000361,72982.9,1.91,2017-10-21
44,YO Upadhyay Jr.,IC277-8598-0321,Current,18501044021,77371.63,4.53,2023-06-20
45,Aachal B Johal Jr.,IC978-1664-5795,Savings,74007210343,35630.42,2.16,2022-04-25
46,Aarini Krisha Gaba Jr.,IC712-7772-3215,Savings,94071399880,78881.26,3.72,2024-06-26
47,VE Karnik Jr.,IC672-0984-4810,Savings,66315930810,79684.23,2.29,2024-07-01
48,Falak Jeevika Bakshi Jr.,IC985-7684-9011,Savings,12428986429,21749.54,3.1,2022-07-20
49,Gautam Garima Varty Jr.,IC592-9665-5862,Current,82763544524,46590.66,1.47,2020-09-14
50,Chavvi M Madan Jr.,IC925-2749-7541,Savings,72698812925,29171.14,3.94,2022-03-20
51,Zehaan Kala Viswanathan Jr.,IC270-7645-3053,Savings,46418900231,39084.77,2.09,2022-03-21
52,Unnati Oliver Barad Jr.,IC845-9569-9961,Current,02181326531,67789.93,1.93,2023-12-25
53,Yauvani J Dani Jr.,IC099-8626-7047,Savings,82278920906,87807.22,1.62,2022-08-24
54,CS Narula Jr.,IC655-9254-9728,Current,28992477234,35992.78,3.36,2024-10-11
55,CM Madan Jr.,IC879-0892-6340,Savings,97463028426,55996.72,1.65,2024-09-04
56,PL Gara Jr.,IC583-3862-6044,Current,14321458058,78751.51,2.54,2017-06-08
57,Osha Yashica Mody Jr.,IC390-2138-6651,Savings,12338518343,26750.55,3.69,2022-06-01
