SBI_AccountID,AccountHolder,Acc_Number,Service_Type,National_ID,AmountStored,Interest_Rate,Last_Updated
1,Sara G Buch,SBI-1281-5545,Current,85839894719,50000.08,1.85,2017-04-23
2,Vidhi G Gupta,SBI-1645-4027,Current,60123098910,37969.27,3.69,2019-06-18
3,OA Ratti,SBI-8173-5955,Current,78789007547,5951.13,3.4,2023-10-21
4,Idika Ishwar Dubey,SBI-6156-6532,Savings,90977658236,15546.71,4.0,2023-08-27
5,Mitali Aahana Johal,SBI-5611-9890,Savings,82197296687,33165.32,3.9,2020-07-10
6,Triveni Kamya Tiwari,SBI-2257-6544,Current,89163489676,125713.59,1.71,2022-04-06
7,Osha Y Mody,SBI-4059-0526,Current,16207660754,118719.95,1.97,2019-02-05
8,JG Solanki,SBI-0177-0380,Current,94262235833,3954.16,3.54,2024-01-30
9,Chaaya U Chand,SBI-1616-2799,Savings,76266237582,59519.05,3.47,2022-12-04
10,Ekta Aadhya Balakrishnan,SBI-7463-0056,Savings,34448647530,112775.91,3.99,2023-10-08
11,Falay Jeevika Bakshi,SBI-6319-5626,Current,79332365992,61535.53,3.61,2023-04-14
12,Abha Hemangini Gaba,SBI-7146-5565,Savings,50700300351,11455.17,3.6,2022-06-06
13,Rajeshri Ishani Narang,SBI-2256-4577,Current,66609759294,19597.78,3.45,2024-04-06
14,KV Batra,SBI-8449-6571,Current,18243454487,129481.27,1.9,2022-10-18
15,Yauvani J Dani,SBI-7680-6850,Current,06046092516,131035.85,2.34,2022-04-14
16,Maanaj Manya Bala,SBI-4550-7289,Savings,57629481552,96740.9,2.62,2016-07-09
17,PL Gara,SBI-9996-4749,Current,94516425858,57585.68,2.37,2024-11-07
18,Hemal B Natt,SBI-5684-3772,Current,60583528899,138113.95,3.38,2023-08-22
19,EZ Chawla,SBI-7018-5565,Savings,51832363975,14382.16,2.16,2020-02-10
20,Baghyawati Amrita Raval,SBI-9740-5871,Current,34228480236,19598.72,2.69,2023-07-26
21,YO Upadhyay,SBI-7376-9956,Current,47803471039,148326.1,4.45,2022-01-31
22,YK Contractor,SBI-6216-5837,Current,53475778811,52352.61,4.39,2023-09-26
23,YP Raman,SBI-1024-7982,Savings,95739592532,88276.33,3.65,2021-07-11
24,CM Madan,SBI-2904-1060,Savings,87241949302,50927.97,1.98,2017-10-13
25,Zansi Lakshit Sharma,SBI-3413-0976,Savings,75680566828,76739.95,4.2,2024-03-08
26,Gavin Rehaan Chaudhry,SBI-0019-9773,Savings,69647905530,136055.55,2.12,2024-02-19
27,Madhac Jack Trivedi,SBI-7804-3035,Savings,66602714283,127132.81,4.42,2023-08-15
28,AK Gaba,SBI-4065-3335,Current,03292299211,99233.71,1.5,2019-04-20
29,Priya Arin Sood,SBI-1139-8332,Current,41015666347,121922.7,2.56,2022-07-31
30,BC Dugal,SBI-9706-9708,Savings,21119131761,30856.1,3.85,2022-08-11
31,Zehaan K Viswanathan,SBI-9649-8230,Current,40400925263,145483.84,3.64,2021-08-17
32,Qushi Ekalinga Kanda,SBI-4109-0702,Current,27475830584,7651.29,2.68,2021-03-25
33,Gautam Garima Varty,SBI-6004-9834,Current,31276153152,65043.6,3.2,2018-08-23
34,Netra Avni Atwal,SBI-8446-7116,Savings,29314882927,12408.76,2.58,2018-03-11
35,GT Palla,SBI-8307-9339,Current,24492601266,29674.77,1.84,2024-09-24
36,Gagan Mason Pradhan,SBI-0416-5652,Current,40965154514,145044.85,2.59,2024-09-25
37,AD Sengupta,SBI-3224-8747,Current,55355563069,67832.05,2.61,2019-12-15
38,Ojas C Chanda,SBI-3547-2667,Savings,58579803233,32190.56,2.38,2022-09-19
39,QS Shukla,SBI-0699-2009,Savings,55506524708,139383.7,2.06,2019-05-24
40,AV Raman,SBI-6653-3297,Savings,08292122826,70440.43,3.41,2024-11-05
41,Gopal N Parmar,SBI-5701-2244,Savings,52425715545,82690.8,1.97,2022-04-27
42,Darsj Dayita Goda,SBI-3255-8339,Current,32407575834,102370.45,3.78,2017-09-13
43,Samar Advay Vig,SBI-4511-2378,Savings,48379390914,17100.7,2.26,2022-11-15
44,Manyz Dominic Soni,SBI-3018-1466,Savings,63092066566,45253.62,2.62,2022-08-10
45,UO Barad,SBI-5703-4565,Current,78346067723,20248.14,1.86,2023-12-31
46,Charan Chatura Karpe,SBI-1105-9204,Savings,55217811225,54400.56,2.92,2024-11-03
47,Nidro Zilmil Solanki,SBI-0496-2339,Current,52199579376,55469.19,1.85,2024-04-09
48,Vedant N Lalla,SBI-1033-2356,Current,58389938848,17608.12,2.88,2020-12-06
49,Yoshita Oliver Upadhyay Jr.,SBI-2638-8872,Savings,18501044021,92651.0,3.61,2024-03-10
50,Aachal Bimala Johal Jr.,SBI-2242-9271,Savings,74007210343,39703.33,2.93,2021-09-20
51,Veda E Karnik Jr.,SBI-4604-7087,Savings,66315930810,134234.36,2.27,2024-06-24
52,FJ Bakshi Jr.,SBI-3345-8286,Current,12428986429,125919.05,2.25,2022-07-19
53,CS Narula Jr.,SBI-6775-9235,Current,45442696391,3362.85,2.99,2024-01-20
54,Rajeshri Ishani Narang Jr.,SBI-5551-8940,Current,80469145886,143919.62,2.25,2023-05-22
55,IY Wason Jr.,SBI-6671-8074,Current,24441510319,107238.06,3.83,2023-06-28
56,Chavvi Maanav Madan Jr.,SBI-1517-5866,Savings,72698812925,36304.61,1.86,2017-10-03
57,Zehaan K Viswanathan Jr.,SBI-9597-2964,Savings,46418900231,34790.58,4.0,2018-09-10
58,YJ Dani Jr.,SBI-7731-2245,Savings,82278920906,56314.11,3.4,2020-08-08
59,Charan Neelima Lala Jr.,SBI-4696-8167,Current,33617707303,22065.95,2.12,2020-08-21
60,Charita Sneha Narula Jr.,SBI-3064-9799,Current,28992477234,110418.97,3.95,2024-05-10
61,Chavvi M Madan Jr.,SBI-9505-5131,Savings,97463028426,121767.02,3.71,2024-08-01
62,Pavani L Gara Jr.,SBI-0744-5060,Current,14321458058,32882.18,2.45,2016-09-15
63,Osha Y Mody Jr.,SBI-9916-9838,Current,12338518343,110382.45,1.95,2023-05-30
